"year","oa_type","value","pc"
2019,"gold",278,1.40723867375348
2019,"hybrid",277,1.40217666413566
2019,"green",108,0.546697038724374
2019,"bronze",91,0.460642875221463
2019,"closed",285,1.44267274107821
2019,"gold",111,0.561883067577828
2019,"hybrid",37,0.187294355859276
2019,"green",32,0.161984307770185
2019,"bronze",24,0.121488230827639
2019,"closed",1824,9.23310554290053
2019,"gold",752,3.80663123259934
2019,"hybrid",418,2.11592002024804
2019,"green",357,1.80713743356112
2019,"bronze",241,1.2199443178942
2019,"closed",147,0.744115413819286
2019,"gold",120,0.607441154138193
2019,"hybrid",55,0.278410528980005
2019,"green",40,0.202480384712731
2019,"bronze",22,0.111364211592002
2019,"closed",56,0.283472538597823
2019,"gold",19,0.0961781827385472
2019,"hybrid",10,0.0506200961781827
2019,"green",4,0.0202480384712731
2019,"bronze",3,0.0151860288534548
2019,"closed",141,0.713743356112377
2019,"gold",49,0.248038471273095
2019,"hybrid",49,0.248038471273095
2019,"green",27,0.136674259681093
2019,"bronze",21,0.106302201974184
2019,"closed",143,0.723867375348013
2019,"gold",67,0.339154644393824
2019,"hybrid",34,0.172108327005821
2019,"green",26,0.131612250063275
2019,"bronze",23,0.11642622120982
2019,"closed",127,0.642875221462921
2019,"gold",95,0.480890913692736
2019,"hybrid",47,0.237914452037459
2019,"green",38,0.192356365477094
2019,"bronze",31,0.156922298152366
2019,"closed",172,0.870665654264743
2019,"gold",95,0.480890913692736
2019,"hybrid",48,0.242976461655277
2019,"green",31,0.156922298152366
2019,"bronze",17,0.0860541635029107
2019,"closed",109,0.551759048342192
2019,"gold",33,0.167046317388003
2019,"hybrid",12,0.0607441154138193
2019,"green",10,0.0506200961781827
2019,"bronze",10,0.0506200961781827
2019,"closed",0,0
2019,"gold",0,0
2019,"hybrid",0,0
2019,"green",0,0
2019,"bronze",0,0
2019,"closed",38,0.192356365477094
2019,"gold",36,0.182232346241458
2019,"hybrid",8,0.0404960769425462
2019,"green",6,0.0303720577069096
2019,"bronze",6,0.0303720577069096
2019,"closed",12,0.0607441154138193
2019,"gold",11,0.055682105796001
2019,"hybrid",11,0.055682105796001
2019,"green",7,0.0354340673247279
2019,"bronze",3,0.0151860288534548
